log.key,date_month,result
city_docs/documentum_city_charter.csv,2,6
city_docs/documentum_city_charter.csv,3,4
city_docs/documentum_city_charter.csv,4,1
city_docs/documentum_city_charter.csv,5,96
city_docs/documentum_city_charter.csv,6,109
city_docs/documentum_city_charter.csv,8,2
city_docs/documentum_city_charter.csv,9,7
city_docs/documentum_city_charter.csv,10,4
city_docs/documentum_city_charter.csv,11,2
city_docs/documentum_council_dockets.csv,1,54
city_docs/documentum_council_dockets.csv,2,28
city_docs/documentum_council_dockets.csv,3,34
city_docs/documentum_council_dockets.csv,4,30
city_docs/documentum_council_dockets.csv,5,32
city_docs/documentum_council_dockets.csv,6,43
city_docs/documentum_council_dockets.csv,9,3
city_docs/documentum_council_dockets.csv,10,4
city_docs/documentum_council_dockets.csv,11,59
city_docs/documentum_council_dockets.csv,12,70
city_docs/documentum_council_dockminresults_all.csv,3,2
city_docs/documentum_council_dockminresults_all.csv,10,2
city_docs/documentum_council_minutes.csv,1,54
city_docs/documentum_council_minutes.csv,2,28
city_docs/documentum_council_minutes.csv,3,34
city_docs/documentum_council_minutes.csv,4,30
city_docs/documentum_council_minutes.csv,5,31
city_docs/documentum_council_minutes.csv,6,37
city_docs/documentum_council_minutes.csv,9,7
city_docs/documentum_council_minutes.csv,10,9
city_docs/documentum_council_minutes.csv,11,120
city_docs/documentum_council_minutes.csv,12,71
city_docs/documentum_council_results.csv,1,55
city_docs/documentum_council_results.csv,2,28
city_docs/documentum_council_results.csv,3,34
city_docs/documentum_council_results.csv,4,30
city_docs/documentum_council_results.csv,5,32
city_docs/documentum_council_results.csv,6,31
city_docs/documentum_council_results.csv,9,39
city_docs/documentum_council_results.csv,10,6
city_docs/documentum_council_results.csv,11,99
city_docs/documentum_council_results.csv,12,70
city_docs/documentum_legal_opinions.csv,1,793
city_docs/documentum_legal_opinions.csv,2,671
city_docs/documentum_legal_opinions.csv,3,741
city_docs/documentum_legal_opinions.csv,4,735
city_docs/documentum_legal_opinions.csv,5,747
city_docs/documentum_legal_opinions.csv,6,728
city_docs/documentum_legal_opinions.csv,10,6
city_docs/documentum_legal_opinions.csv,11,263
city_docs/documentum_legal_opinions.csv,12,826
city_docs/documentum_scs_agency_reso_ordinance_v.csv,1,155
city_docs/documentum_scs_agency_reso_ordinance_v.csv,2,110
city_docs/documentum_scs_agency_reso_ordinance_v.csv,3,127
city_docs/documentum_scs_agency_reso_ordinance_v.csv,4,121
city_docs/documentum_scs_agency_reso_ordinance_v.csv,5,125
city_docs/documentum_scs_agency_reso_ordinance_v.csv,6,120
city_docs/documentum_scs_agency_reso_ordinance_v.csv,10,4
city_docs/documentum_scs_agency_reso_ordinance_v.csv,11,2
city_docs/documentum_scs_agency_reso_ordinance_v.csv,12,139
city_docs/documentum_scs_ccaction_audit_v.csv,1,411
city_docs/documentum_scs_ccaction_audit_v.csv,2,339
city_docs/documentum_scs_ccaction_audit_v.csv,3,374
city_docs/documentum_scs_ccaction_audit_v.csv,4,362
city_docs/documentum_scs_ccaction_audit_v.csv,5,370
city_docs/documentum_scs_ccaction_audit_v.csv,6,367
city_docs/documentum_scs_ccaction_audit_v.csv,9,1
city_docs/documentum_scs_ccaction_audit_v.csv,10,5
city_docs/documentum_scs_ccaction_audit_v.csv,11,40
city_docs/documentum_scs_ccaction_audit_v.csv,12,437
city_docs/documentum_scs_ccaction_bge_v.csv,1,411
city_docs/documentum_scs_ccaction_bge_v.csv,2,339
city_docs/documentum_scs_ccaction_bge_v.csv,3,374
city_docs/documentum_scs_ccaction_bge_v.csv,4,360
city_docs/documentum_scs_ccaction_bge_v.csv,5,372
city_docs/documentum_scs_ccaction_bge_v.csv,6,362
city_docs/documentum_scs_ccaction_bge_v.csv,10,5
city_docs/documentum_scs_ccaction_bge_v.csv,11,226
city_docs/documentum_scs_ccaction_bge_v.csv,12,437
city_docs/documentum_scs_ccaction_budgetfinance_v.csv,1,54
city_docs/documentum_scs_ccaction_budgetfinance_v.csv,2,30
city_docs/documentum_scs_ccaction_budgetfinance_v.csv,3,35
city_docs/documentum_scs_ccaction_budgetfinance_v.csv,4,30
city_docs/documentum_scs_ccaction_budgetfinance_v.csv,5,32
city_docs/documentum_scs_ccaction_budgetfinance_v.csv,6,31
city_docs/documentum_scs_ccaction_budgetfinance_v.csv,10,4
city_docs/documentum_scs_ccaction_budgetfinance_v.csv,11,32
city_docs/documentum_scs_ccaction_budgetfinance_v.csv,12,70
city_docs/documentum_scs_ccaction_charterrev_v.csv,1,55
city_docs/documentum_scs_ccaction_charterrev_v.csv,2,30
city_docs/documentum_scs_ccaction_charterrev_v.csv,3,33
city_docs/documentum_scs_ccaction_charterrev_v.csv,4,30
city_docs/documentum_scs_ccaction_charterrev_v.csv,5,32
city_docs/documentum_scs_ccaction_charterrev_v.csv,6,31
city_docs/documentum_scs_ccaction_charterrev_v.csv,10,4
city_docs/documentum_scs_ccaction_charterrev_v.csv,11,3102
city_docs/documentum_scs_ccaction_charterrev_v.csv,12,71
city_docs/documentum_scs_ccaction_charterrwget.csv,3,1
city_docs/documentum_scs_ccaction_edir_v.csv,3,6
city_docs/documentum_scs_ccaction_edir_v.csv,9,1
city_docs/documentum_scs_ccaction_edir_v.csv,10,2
city_docs/documentum_scs_ccaction_eds_v.csv,3,1
city_docs/documentum_scs_ccaction_eds_v.csv,10,2
city_docs/documentum_scs_ccaction_enviro_v.csv,3,1
city_docs/documentum_scs_ccaction_enviro_v.csv,10,2
city_docs/documentum_scs_ccaction_enwget_v.csv,3,1
city_docs/documentum_scs_ccaction_fire_v.csv,3,1
city_docs/documentum_scs_ccaction_fire_v.csv,10,2
city_docs/documentum_scs_ccaction_geo_v.csv,3,2
city_docs/documentum_scs_ccaction_geo_v.csv,10,2
city_docs/documentum_scs_ccaction_infra_v.csv,3,1
city_docs/documentum_scs_ccaction_infra_v.csv,10,2
city_docs/documentum_scs_ccaction_luh_v.csv,3,2
city_docs/documentum_scs_ccaction_luh_v.csv,10,2
city_docs/documentum_scs_ccaction_nrc_v.csv,3,7
city_docs/documentum_scs_ccaction_nrc_v.csv,10,2
city_docs/documentum_scs_ccaction_psln_v.csv,3,1
city_docs/documentum_scs_ccaction_psln_v.csv,10,2
city_docs/documentum_scs_ccaction_psns_v.csv,3,2
city_docs/documentum_scs_ccaction_psns_v.csv,10,2
city_docs/documentum_scs_ccaction_rules_ogir_v.csv,3,1
city_docs/documentum_scs_ccaction_rules_ogir_v.csv,10,2
city_docs/documentum_scs_ccaction_sglu_v.csv,3,2
city_docs/documentum_scs_ccaction_sglu_v.csv,9,1
city_docs/documentum_scs_ccaction_sglu_v.csv,10,2
city_docs/documentum_scs_ccaction_wgera_v.csv,3,1
city_docs/documentum_scs_ccaction_wgetv.csv,3,2
city_docs/documentum_scs_ccactiow_edir_v.csv,3,1
city_docs/documentum_scs_ccactwon_fire_v.csv,3,1
city_docs/documentum_scs_ccagenda_audit_v.csv,3,2
city_docs/documentum_scs_ccagenda_audit_v.csv,10,3
city_docs/documentum_scs_ccagenda_bge_v.csv,3,6
city_docs/documentum_scs_ccagenda_bge_v.csv,10,2
city_docs/documentum_scs_ccagenda_budgetfinance_v.csv,3,13
city_docs/documentum_scs_ccagenda_budgetfinance_v.csv,10,2
city_docs/documentum_scs_ccagenda_budgetfinance_v.csv,11,1
city_docs/documentum_scs_ccagenda_charterrev_v.csv,3,3
city_docs/documentum_scs_ccagenda_charterrev_v.csv,10,2
city_docs/documentum_scs_ccagenda_edir_v.csv,1,412
city_docs/documentum_scs_ccagenda_edir_v.csv,2,340
city_docs/documentum_scs_ccagenda_edir_v.csv,3,372
city_docs/documentum_scs_ccagenda_edir_v.csv,4,360
city_docs/documentum_scs_ccagenda_edir_v.csv,5,373
city_docs/documentum_scs_ccagenda_edir_v.csv,6,358
city_docs/documentum_scs_ccagenda_edir_v.csv,10,4
city_docs/documentum_scs_ccagenda_edir_v.csv,11,218
city_docs/documentum_scs_ccagenda_edir_v.csv,12,439
city_docs/documentum_scs_ccagenda_eds_v.csv,1,412
city_docs/documentum_scs_ccagenda_eds_v.csv,2,339
city_docs/documentum_scs_ccagenda_eds_v.csv,3,374
city_docs/documentum_scs_ccagenda_eds_v.csv,4,362
city_docs/documentum_scs_ccagenda_eds_v.csv,5,372
city_docs/documentum_scs_ccagenda_eds_v.csv,6,356
city_docs/documentum_scs_ccagenda_eds_v.csv,10,4
city_docs/documentum_scs_ccagenda_eds_v.csv,11,217
city_docs/documentum_scs_ccagenda_eds_v.csv,12,436
city_docs/documentum_scs_ccagenda_enviro_v.csv,1,414
city_docs/documentum_scs_ccagenda_enviro_v.csv,2,337
city_docs/documentum_scs_ccagenda_enviro_v.csv,3,374
city_docs/documentum_scs_ccagenda_enviro_v.csv,4,361
city_docs/documentum_scs_ccagenda_enviro_v.csv,5,373
city_docs/documentum_scs_ccagenda_enviro_v.csv,6,355
city_docs/documentum_scs_ccagenda_enviro_v.csv,10,4
city_docs/documentum_scs_ccagenda_enviro_v.csv,11,140
city_docs/documentum_scs_ccagenda_enviro_v.csv,12,439
city_docs/documentum_scs_ccagenda_fire_v.csv,1,56
city_docs/documentum_scs_ccagenda_fire_v.csv,2,29
city_docs/documentum_scs_ccagenda_fire_v.csv,3,34
city_docs/documentum_scs_ccagenda_fire_v.csv,4,30
city_docs/documentum_scs_ccagenda_fire_v.csv,5,32
city_docs/documentum_scs_ccagenda_fire_v.csv,6,31
city_docs/documentum_scs_ccagenda_fire_v.csv,8,1
city_docs/documentum_scs_ccagenda_fire_v.csv,10,29
city_docs/documentum_scs_ccagenda_fire_v.csv,11,5
city_docs/documentum_scs_ccagenda_fire_v.csv,12,70
city_docs/documentum_scs_ccagenda_geo_v.csv,1,54
city_docs/documentum_scs_ccagenda_geo_v.csv,2,28
city_docs/documentum_scs_ccagenda_geo_v.csv,3,34
city_docs/documentum_scs_ccagenda_geo_v.csv,4,30
city_docs/documentum_scs_ccagenda_geo_v.csv,5,32
city_docs/documentum_scs_ccagenda_geo_v.csv,6,31
city_docs/documentum_scs_ccagenda_geo_v.csv,10,4
city_docs/documentum_scs_ccagenda_geo_v.csv,11,5
city_docs/documentum_scs_ccagenda_geo_v.csv,12,70
city_docs/documentum_scs_ccagenda_infra_v.csv,1,410
city_docs/documentum_scs_ccagenda_infra_v.csv,2,336
city_docs/documentum_scs_ccagenda_infra_v.csv,3,373
city_docs/documentum_scs_ccagenda_infra_v.csv,4,361
city_docs/documentum_scs_ccagenda_infra_v.csv,5,371
city_docs/documentum_scs_ccagenda_infra_v.csv,6,355
city_docs/documentum_scs_ccagenda_infra_v.csv,10,4
city_docs/documentum_scs_ccagenda_infra_v.csv,11,36
city_docs/documentum_scs_ccagenda_infra_v.csv,12,436
city_docs/documentum_scs_ccagenda_luh_v.csv,1,55
city_docs/documentum_scs_ccagenda_luh_v.csv,2,28
city_docs/documentum_scs_ccagenda_luh_v.csv,3,34
city_docs/documentum_scs_ccagenda_luh_v.csv,4,30
city_docs/documentum_scs_ccagenda_luh_v.csv,5,32
city_docs/documentum_scs_ccagenda_luh_v.csv,6,31
city_docs/documentum_scs_ccagenda_luh_v.csv,10,4
city_docs/documentum_scs_ccagenda_luh_v.csv,11,5
city_docs/documentum_scs_ccagenda_luh_v.csv,12,70
city_docs/documentum_scs_ccagenda_nrc_v.csv,1,54
city_docs/documentum_scs_ccagenda_nrc_v.csv,2,29
city_docs/documentum_scs_ccagenda_nrc_v.csv,3,34
city_docs/documentum_scs_ccagenda_nrc_v.csv,4,30
city_docs/documentum_scs_ccagenda_nrc_v.csv,5,32
city_docs/documentum_scs_ccagenda_nrc_v.csv,6,31
city_docs/documentum_scs_ccagenda_nrc_v.csv,10,4
city_docs/documentum_scs_ccagenda_nrc_v.csv,11,5
city_docs/documentum_scs_ccagenda_nrc_v.csv,12,70
city_docs/documentum_scs_ccagenda_psln_v.csv,1,411
city_docs/documentum_scs_ccagenda_psln_v.csv,2,337
city_docs/documentum_scs_ccagenda_psln_v.csv,3,373
city_docs/documentum_scs_ccagenda_psln_v.csv,4,364
city_docs/documentum_scs_ccagenda_psln_v.csv,5,372
city_docs/documentum_scs_ccagenda_psln_v.csv,6,355
city_docs/documentum_scs_ccagenda_psln_v.csv,10,4
city_docs/documentum_scs_ccagenda_psln_v.csv,11,35
city_docs/documentum_scs_ccagenda_psln_v.csv,12,437
city_docs/documentum_scs_ccagenda_psns_v.csv,1,54
city_docs/documentum_scs_ccagenda_psns_v.csv,2,28
city_docs/documentum_scs_ccagenda_psns_v.csv,3,32
city_docs/documentum_scs_ccagenda_psns_v.csv,4,30
city_docs/documentum_scs_ccagenda_psns_v.csv,5,32
city_docs/documentum_scs_ccagenda_psns_v.csv,6,31
city_docs/documentum_scs_ccagenda_psns_v.csv,10,4
city_docs/documentum_scs_ccagenda_psns_v.csv,11,5
city_docs/documentum_scs_ccagenda_psns_v.csv,12,70
city_docs/documentum_scs_ccagenda_rules_ogir_v.csv,1,410
city_docs/documentum_scs_ccagenda_rules_ogir_v.csv,2,336
city_docs/documentum_scs_ccagenda_rules_ogir_v.csv,3,372
city_docs/documentum_scs_ccagenda_rules_ogir_v.csv,4,361
city_docs/documentum_scs_ccagenda_rules_ogir_v.csv,5,372
city_docs/documentum_scs_ccagenda_rules_ogir_v.csv,6,355
city_docs/documentum_scs_ccagenda_rules_ogir_v.csv,10,4
city_docs/documentum_scs_ccagenda_rules_ogir_v.csv,11,33
city_docs/documentum_scs_ccagenda_rules_ogir_v.csv,12,439
city_docs/documentum_scs_ccagenda_sglu_v.csv,1,410
city_docs/documentum_scs_ccagenda_sglu_v.csv,2,336
city_docs/documentum_scs_ccagenda_sglu_v.csv,3,373
city_docs/documentum_scs_ccagenda_sglu_v.csv,4,361
city_docs/documentum_scs_ccagenda_sglu_v.csv,5,372
city_docs/documentum_scs_ccagenda_sglu_v.csv,6,355
city_docs/documentum_scs_ccagenda_sglu_v.csv,10,4
city_docs/documentum_scs_ccagenda_sglu_v.csv,11,34
city_docs/documentum_scs_ccagenda_sglu_v.csv,12,437
city_docs/documentum_scs_ccagwget_edir_v.csv,3,1
city_docs/documentum_scs_cityattorneyreports_v.csv,1,791
city_docs/documentum_scs_cityattorneyreports_v.csv,2,668
city_docs/documentum_scs_cityattorneyreports_v.csv,3,734
city_docs/documentum_scs_cityattorneyreports_v.csv,4,720
city_docs/documentum_scs_cityattorneyreports_v.csv,5,744
city_docs/documentum_scs_cityattorneyreports_v.csv,6,710
city_docs/documentum_scs_cityattorneyreports_v.csv,10,5
city_docs/documentum_scs_cityattorneyreports_v.csv,11,60
city_docs/documentum_scs_cityattorneyreports_v.csv,12,824
city_docs/documentum_scs_citybulletin_publicnot_v.csv,1,309
city_docs/documentum_scs_citybulletin_publicnot_v.csv,2,328
city_docs/documentum_scs_citybulletin_publicnot_v.csv,3,371
city_docs/documentum_scs_citybulletin_publicnot_v.csv,4,431
city_docs/documentum_scs_citybulletin_publicnot_v.csv,5,636
city_docs/documentum_scs_citybulletin_publicnot_v.csv,6,1591
city_docs/documentum_scs_citybulletin_publicnot_v.csv,8,2
city_docs/documentum_scs_citybulletin_publicnot_v.csv,9,11
city_docs/documentum_scs_citybulletin_publicnot_v.csv,10,6
city_docs/documentum_scs_citybulletin_publicnot_v.csv,11,1
city_docs/documentum_scs_citybulletin_publicnot_v.csv,12,149
city_docs/documentum_scs_council_reso_ordinance_v.csv,1,67
city_docs/documentum_scs_council_reso_ordinance_v.csv,2,28
city_docs/documentum_scs_council_reso_ordinance_v.csv,3,33
city_docs/documentum_scs_council_reso_ordinance_v.csv,4,68
city_docs/documentum_scs_council_reso_ordinance_v.csv,5,38
city_docs/documentum_scs_council_reso_ordinance_v.csv,6,296
city_docs/documentum_scs_council_reso_ordinance_v.csv,10,16
city_docs/documentum_scs_council_reso_ordinance_v.csv,11,1
city_docs/documentum_scs_council_reso_ordinance_v.csv,12,57
city_docs/documentum_scs_council_reso_ordinance_v_1976_1985.csv,4,14
