page_path_2,user_agent_family,date_full,date_month,result,user_agent_type
/address-points-apn/,Chrome,2017-07-14,7,4.0,browser
/address-points-apn/,Chrome,2017-07-18,7,1.0,browser
/address-points-apn/,Chrome,2017-07-24,7,1.0,browser
/address-points-apn/,Chrome,2017-07-28,7,1.0,browser
/address-points-apn/,Chrome,2017-07-31,7,2.0,browser
/address-points-apn/,Chrome,2017-08-01,8,1.0,browser
/address-points-apn/,Chrome,2017-08-02,8,1.0,browser
/address-points-apn/,Chrome,2017-08-03,8,1.0,browser
/address-points-apn/,Chrome,2017-08-07,8,1.0,browser
/address-points-apn/,Chrome,2017-08-09,8,2.0,browser
/address-points-apn/,Chrome,2017-08-11,8,1.0,browser
/address-points-apn/,Chrome,2017-09-07,9,2.0,browser
/address-points-apn/,Chrome,2017-10-02,10,1.0,browser
/address-points-apn/,Chrome,2017-10-03,10,3.0,browser
/address-points-apn/,Chrome,2017-10-10,10,1.0,browser
/address-points-apn/,Chrome,2017-10-12,10,2.0,browser
/address-points-apn/,Chrome,2017-10-20,10,2.0,browser
/address-points-apn/,Chrome,2017-10-25,10,1.0,browser
/address-points-apn/,Chrome,2017-10-30,10,1.0,browser
/address-points-apn/,Chrome,2017-11-02,11,2.0,browser
/address-points-apn/,Chrome,2017-11-03,11,1.0,browser
/address-points-apn/,Chrome,2017-11-06,11,2.0,browser
/address-points-apn/,Chrome,2017-11-10,11,1.0,browser
/address-points-apn/,Chrome,2017-11-14,11,3.0,browser
/address-points-apn/,Chrome,2017-11-22,11,1.0,browser
/address-points-apn/,Chrome,2017-11-28,11,2.0,browser
/address-points-apn/,Chrome,2017-12-01,12,2.0,browser
/address-points-apn/,Chrome,2017-12-04,12,7.0,browser
/address-points-apn/,Chrome,2017-12-05,12,3.0,browser
/address-points-apn/,Chrome,2017-12-07,12,1.0,browser
/address-points-apn/,Chrome,2017-12-08,12,1.0,browser
/address-points-apn/,Chrome,2017-12-14,12,2.0,browser
/address-points-apn/,Chrome,2018-01-01,1,1.0,browser
/address-points-apn/,Chrome,2018-01-03,1,1.0,browser
/address-points-apn/,Chrome,2018-01-04,1,1.0,browser
/address-points-apn/,Chrome,2018-01-08,1,1.0,browser
/address-points-apn/,Chrome,2018-01-09,1,1.0,browser
/address-points-apn/,Chrome,2018-01-10,1,1.0,browser
/address-points-apn/,Chrome,2018-01-12,1,2.0,browser
/address-points-apn/,Chrome,2018-02-01,2,1.0,browser
/address-points-apn/,Chrome,2018-02-03,2,1.0,browser
/address-points-apn/,Chrome,2018-02-08,2,1.0,browser
/address-points-apn/,Chrome,2018-03-01,3,1.0,browser
/address-points-apn/,Chrome,2018-03-03,3,1.0,browser
/address-points-apn/,Chrome,2018-03-07,3,2.0,browser
/address-points-apn/,Chrome,2018-03-10,3,1.0,browser
/address-points-apn/,Chrome,2018-03-14,3,1.0,browser
/address-points-apn/,Chrome,2018-04-01,4,2.0,browser
/address-points-apn/,Chrome,2018-04-02,4,1.0,browser
/address-points-apn/,Chrome,2018-04-05,4,3.0,browser
/address-points-apn/,Chrome,2018-04-06,4,1.0,browser
/address-points-apn/,Chrome,2018-04-16,4,2.0,browser
/address-points-apn/,Chrome,2018-04-21,4,3.0,browser
/address-points-apn/,Chrome,2018-04-23,4,1.0,browser
/address-points-apn/,Chrome,2018-05-12,5,1.0,browser
/address-points-apn/,Chrome,2018-05-26,5,1.0,browser
/address-points-apn/,Chrome,2018-05-28,5,1.0,browser
/address-points-apn/,Chrome,2018-06-06,6,5.0,browser
/address-points-apn/,Chrome,2018-06-07,6,2.0,browser
/address-points-apn/,Chrome,2018-06-09,6,1.0,browser
/address-points-apn/,Chrome,2018-06-14,6,1.0,browser
/address-points-apn/,Chrome,2018-06-19,6,1.0,browser
/address-points-apn/,Chrome,2018-06-22,6,2.0,browser
/address-points-apn/,Chrome,2018-06-28,6,1.0,browser
/address-points-apn/,Chrome,2018-06-29,6,5.0,browser
/address-points-apn/,Chromium,2018-04-20,4,1.0,browser
/address-points-apn/,Edge,2017-10-26,10,1.0,browser
/address-points-apn/,Edge,2017-11-13,11,2.0,browser
/address-points-apn/,Edge,2017-11-21,11,2.0,browser
/address-points-apn/,Edge,2018-01-07,1,2.0,browser
/address-points-apn/,Edge,2018-02-12,2,1.0,browser
/address-points-apn/,Edge,2018-02-22,2,2.0,browser
/address-points-apn/,Edge,2018-02-23,2,2.0,browser
/address-points-apn/,Edge,2018-03-03,3,2.0,browser
/address-points-apn/,Edge,2018-04-21,4,1.0,browser
/address-points-apn/,Edge,2018-06-25,6,3.0,browser
/address-points-apn/,Firefox,2017-07-25,7,1.0,browser
