page_path_2,user_agent_family,date_full,date_month,result,user_agent_type
/address-points-apn/,CFNetwork,2019-04-29,4,2.0,other
/address-points-apn/,Chrome,2018-07-01,7,4.0,browser
/address-points-apn/,Chrome,2018-08-02,8,2.0,browser
/address-points-apn/,Chrome,2018-08-05,8,2.0,browser
/address-points-apn/,Chrome,2018-08-12,8,2.0,browser
/address-points-apn/,Chrome,2018-08-19,8,2.0,browser
/address-points-apn/,Chrome,2018-09-04,9,1.0,browser
/address-points-apn/,Chrome,2018-09-07,9,3.0,browser
/address-points-apn/,Chrome,2018-09-10,9,1.0,browser
/address-points-apn/,Chrome,2018-09-14,9,2.0,browser
/address-points-apn/,Chrome,2018-09-22,9,2.0,browser
/address-points-apn/,Chrome,2018-10-02,10,3.0,browser
/address-points-apn/,Chrome,2018-10-12,10,2.0,browser
/address-points-apn/,Chrome,2018-10-30,10,3.0,browser
/address-points-apn/,Chrome,2018-11-02,11,1.0,browser
/address-points-apn/,Chrome,2018-11-09,11,1.0,browser
/address-points-apn/,Chrome,2018-11-27,11,2.0,browser
/address-points-apn/,Chrome,2018-12-10,12,1.0,browser
/address-points-apn/,Chrome,2018-12-12,12,2.0,browser
/address-points-apn/,Chrome,2018-12-28,12,2.0,browser
/address-points-apn/,Chrome,2019-01-10,1,3.0,browser
/address-points-apn/,Chrome,2019-01-11,1,1.0,browser
/address-points-apn/,Chrome,2019-01-22,1,1.0,browser
/address-points-apn/,Chrome,2019-02-23,2,1.0,browser
/address-points-apn/,Chrome,2019-02-28,2,1.0,browser
/address-points-apn/,Chrome,2019-03-02,3,1.0,browser
/address-points-apn/,Chrome,2019-03-03,3,1.0,browser
/address-points-apn/,Chrome,2019-03-10,3,1.0,browser
/address-points-apn/,Chrome,2019-03-22,3,1.0,browser
/address-points-apn/,Chrome,2019-03-25,3,1.0,browser
/address-points-apn/,Chrome,2019-04-04,4,1.0,browser
/address-points-apn/,Chrome,2019-04-05,4,1.0,browser
/address-points-apn/,Chrome,2019-04-15,4,1.0,browser
/address-points-apn/,Chrome,2019-04-27,4,1.0,browser
/address-points-apn/,Chrome,2019-05-17,5,1.0,browser
/address-points-apn/,Chrome,2019-06-10,6,2.0,browser
/address-points-apn/,Chrome,2019-06-24,6,1.0,browser
/address-points-apn/,Chrome,2019-06-27,6,1.0,browser
/address-points-apn/,Chromium,2019-02-19,2,1.0,browser
/address-points-apn/,Edge,2018-08-19,8,1.0,browser
/address-points-apn/,Edge,2018-10-11,10,1.0,browser
/address-points-apn/,Edge,2019-01-17,1,5.0,browser
/address-points-apn/,Edge,2019-01-28,1,1.0,browser
/address-points-apn/,Edge,2019-03-26,3,2.0,browser
/address-points-apn/,Firefox,2018-08-14,8,1.0,browser
/address-points-apn/,Firefox,2018-09-13,9,7.0,browser
/address-points-apn/,Firefox,2018-09-18,9,1.0,browser
/address-points-apn/,Firefox,2018-09-27,9,2.0,browser
/address-points-apn/,Firefox,2018-11-02,11,1.0,browser
/address-points-apn/,Firefox,2018-11-16,11,1.0,browser
/address-points-apn/,Firefox,2019-01-17,1,2.0,browser
/address-points-apn/,Firefox,2019-03-02,3,2.0,browser
/address-points-apn/,Firefox,2019-04-30,4,4.0,browser
/address-points-apn/,Firefox,2019-06-14,6,2.0,browser
/address-points-apn/,Firefox,2019-06-27,6,1.0,browser
/address-points-apn/,IE,2018-07-03,7,1.0,browser
/address-points-apn/,IE,2018-08-27,8,2.0,browser
/address-points-apn/,IE,2018-09-19,9,4.0,browser
/address-points-apn/,IE,2018-09-21,9,2.0,browser
/address-points-apn/,IE,2019-02-26,2,5.0,browser
/address-points-apn/,Mobile Safari,2018-11-13,11,2.0,browser
/address-points-apn/,Mobile Safari,2019-03-10,3,1.0,browser
/address-points-apn/,Other,2018-09-13,9,2.0,other
/address-points-apn/,Other,2018-09-25,9,1.0,other
/address-points-apn/,Other,2018-10-09,10,1.0,other
/address-points-apn/,Other,2018-10-20,10,1.0,other
/address-points-apn/,Other,2018-11-03,11,1.0,other
/address-points-apn/,Other,2018-11-17,11,1.0,other
/address-points-apn/,Other,2018-12-01,12,1.0,other
/address-points-apn/,Other,2018-12-15,12,1.0,other
/address-points-apn/,Other,2018-12-29,12,1.0,other
/address-points-apn/,Other,2019-01-02,1,1.0,other
/address-points-apn/,Other,2019-01-14,1,1.0,other
/address-points-apn/,Other,2019-01-19,1,1.0,other
/address-points-apn/,Other,2019-02-02,2,1.0,other
/address-points-apn/,Other,2019-02-16,2,1.0,other
/address-points-apn/,Other,2019-03-02,3,1.0,other
/address-points-apn/,Other,2019-03-16,3,1.0,other
/address-points-apn/,Other,2019-03-25,3,1.0,other
/address-points-apn/,Other,2019-03-26,3,1.0,other
/address-points-apn/,Other,2019-03-30,3,1.0,other
/address-points-apn/,Other,2019-04-03,4,2.0,other
/address-points-apn/,Other,2019-04-13,4,1.0,other
/address-points-apn/,Other,2019-04-17,4,3.0,other
/address-points-apn/,Other,2019-04-30,4,1.0,other
/address-points-apn/,Other,2019-05-03,5,3.0,other
/address-points-apn/,Other,2019-05-12,5,1.0,other
/address-points-apn/,Other,2019-05-26,5,1.0,other
/address-points-apn/,Other,2019-06-08,6,1.0,other
/address-points-apn/,Other,2019-06-12,6,3.0,other
/address-points-apn/,Other,2019-06-22,6,1.0,other
/address-points-apn/,Python Requests,2018-07-01,7,1.0,script
/address-points-apn/,Python Requests,2018-07-03,7,2.0,script
/address-points-apn/,Python Requests,2018-07-04,7,0.0,script
/address-points-apn/,Python Requests,2018-07-05,7,0.0,script
/address-points-apn/,Python Requests,2018-07-08,7,0.0,script
/address-points-apn/,Python Requests,2018-07-09,7,0.0,script
/address-points-apn/,Python Requests,2018-07-11,7,0.0,script
/address-points-apn/,Python Requests,2018-07-12,7,0.0,script
/address-points-apn/,Python Requests,2018-07-14,7,0.0,script
/address-points-apn/,Python Requests,2018-07-16,7,0.0,script
/address-points-apn/,Python Requests,2018-07-18,7,1.0,script
/address-points-apn/,Python Requests,2018-07-20,7,1.0,script
/address-points-apn/,Python Requests,2018-07-21,7,0.0,script
/address-points-apn/,Python Requests,2018-07-22,7,0.0,script
/address-points-apn/,Python Requests,2018-07-23,7,2.0,script
/address-points-apn/,Python Requests,2018-07-24,7,0.0,script
/address-points-apn/,Python Requests,2018-07-25,7,0.0,script
/address-points-apn/,Python Requests,2018-07-26,7,2.0,script
/address-points-apn/,Python Requests,2018-07-27,7,1.0,script
/address-points-apn/,Python Requests,2018-07-29,7,0.0,script
/address-points-apn/,Python Requests,2018-07-30,7,0.0,script
/address-points-apn/,Python Requests,2018-07-31,7,3.0,script
/address-points-apn/,Python Requests,2018-08-02,8,1.0,script
/address-points-apn/,Python Requests,2018-08-03,8,2.0,script
/address-points-apn/,Python Requests,2018-08-05,8,0.0,script
/address-points-apn/,Python Requests,2018-08-06,8,2.0,script
/address-points-apn/,Python Requests,2018-08-07,8,1.0,script
/address-points-apn/,Python Requests,2018-08-08,8,1.0,script
/address-points-apn/,Python Requests,2018-08-12,8,0.0,script
/address-points-apn/,Python Requests,2018-08-14,8,0.0,script
/address-points-apn/,Python Requests,2018-08-16,8,1.0,script
