page_path_2,date_month,users,pageviews
/'https:/,7,1,1
/'https:/,9,1,1
/address-points-apn/,1,47,59
/address-points-apn/,2,34,36
/address-points-apn/,3,60,75
/address-points-apn/,4,88,111
/address-points-apn/,5,53,58
/address-points-apn/,6,85,98
/address-points-apn/,7,79,92
/address-points-apn/,8,75,87
/address-points-apn/,9,74,89
/address-points-apn/,10,70,87
/address-points-apn/,11,61,83
/address-points-apn/,12,60,68
/bike-master-plan/,1,23,25
/bike-master-plan/,2,30,34
/bike-master-plan/,3,25,25
/bike-master-plan/,4,34,38
/bike-master-plan/,5,20,27
/bike-master-plan/,6,14,17
/bike-master-plan/,7,23,24
/bike-master-plan/,8,21,23
/bike-master-plan/,9,16,22
/bike-master-plan/,10,32,32
/bike-master-plan/,11,22,32
/bike-master-plan/,12,19,20
/bike-route-lines/,1,16,17
/bike-route-lines/,2,22,25
/bike-route-lines/,3,23,28
/bike-route-lines/,4,19,20
/bike-route-lines/,5,21,27
/bike-route-lines/,6,42,48
/bike-route-lines/,7,28,29
/bike-route-lines/,8,33,37
/bike-route-lines/,9,38,46
/bike-route-lines/,10,46,54
/bike-route-lines/,11,35,37
/bike-route-lines/,12,18,21
/budget-reference-accounts/,1,13,13
/budget-reference-accounts/,2,11,13
/budget-reference-accounts/,3,8,8
/budget-reference-accounts/,4,16,21
/budget-reference-accounts/,5,7,8
/budget-reference-accounts/,6,9,17
/budget-reference-accounts/,7,7,7
/budget-reference-accounts/,8,3,3
/budget-reference-accounts/,9,7,9
/budget-reference-accounts/,10,15,19
/budget-reference-accounts/,11,19,27
/budget-reference-accounts/,12,8,10
/budget-reference-depts/,1,7,8
/budget-reference-depts/,2,4,4
/budget-reference-depts/,3,5,7
/budget-reference-depts/,4,11,14
/budget-reference-depts/,5,5,5
/budget-reference-depts/,6,3,3
/budget-reference-depts/,7,11,19
/budget-reference-depts/,8,9,23
/budget-reference-depts/,9,1,1
/budget-reference-depts/,10,10,13
/budget-reference-depts/,11,12,12
/budget-reference-depts/,12,8,10
/budget-reference-funds/,1,5,5
/budget-reference-funds/,2,6,9
/budget-reference-funds/,3,6,7
/budget-reference-funds/,4,6,7
/budget-reference-funds/,6,8,11
/budget-reference-funds/,7,7,10
/budget-reference-funds/,8,7,12
/budget-reference-funds/,9,5,6
/budget-reference-funds/,10,6,7
/budget-reference-funds/,11,6,7
/budget-reference-funds/,12,4,4
/budget-reference-items/,7,3,4
/budget-reference-items/,8,2,4
/budget-reference-projects/,1,4,4
/budget-reference-projects/,2,9,10
/budget-reference-projects/,3,3,6
/budget-reference-projects/,4,11,13
/budget-reference-projects/,5,1,1
/budget-reference-projects/,6,7,11
/budget-reference-projects/,7,10,10
/budget-reference-projects/,8,6,7
/budget-reference-projects/,9,4,4
/budget-reference-projects/,10,11,11
/budget-reference-projects/,11,12,15
/budget-reference-projects/,12,7,7
/budget-topic/,7,1,1
/business-improvement-districts/,1,10,15
/business-improvement-districts/,2,14,17
/business-improvement-districts/,3,15,23
/business-improvement-districts/,4,16,21
/business-improvement-districts/,5,5,5
/business-improvement-districts/,6,24,27
/business-improvement-districts/,7,16,17
/business-improvement-districts/,8,17,18
/business-improvement-districts/,9,22,28
/business-improvement-districts/,10,17,21
/business-improvement-districts/,11,17,20
/business-improvement-districts/,12,17,19
/business-listings/,1,43,51
/business-listings/,2,50,63
/business-listings/,3,29,40
/business-listings/,4,49,63
/business-listings/,5,61,77
/business-listings/,6,79,102
/business-listings/,7,95,122
/business-listings/,8,124,147
/business-listings/,9,101,125
/business-listings/,10,69,90
/business-listings/,11,89,121
/business-listings/,12,79,109
/candidates-and-ballot-measures-election/,1,2,2
/candidates-and-ballot-measures-election/,2,7,8
/candidates-and-ballot-measures-election/,3,4,6
/candidates-and-ballot-measures-election/,4,6,10
/candidates-and-ballot-measures-election/,5,1,1
/candidates-and-ballot-measures-election/,6,3,3
/candidates-and-ballot-measures-election/,7,1,1
/candidates-and-ballot-measures-election/,8,11,16
/candidates-and-ballot-measures-election/,9,13,17
/candidates-and-ballot-measures-election/,10,11,14
/candidates-and-ballot-measures-election/,11,3,3
/candidates-and-ballot-measures-election/,12,2,2
/capital-actuals-fy/,10,2,3
/capital-actuals-fy/,12,1,1
/capital-actuals-ptd/,10,2,3
/capital-budget-fy/,1,6,8
/capital-budget-fy/,2,10,10
/capital-budget-fy/,3,2,3
/capital-budget-fy/,4,8,13
/capital-budget-fy/,5,5,5
/capital-budget-fy/,6,4,9
/capital-budget-fy/,7,16,29
/capital-budget-fy/,8,15,27
/capital-budget-fy/,9,7,11
/capital-budget-fy/,10,14,19
/capital-budget-fy/,11,9,11
/capital-budget-fy/,12,8,9
/capital-budget-ptd/,1,3,3
/capital-budget-ptd/,2,1,2
/capital-budget-ptd/,3,2,3
/capital-budget-ptd/,4,6,9
/capital-budget-ptd/,5,3,3
/capital-budget-ptd/,6,3,3
